TransactionID,TransactionDT,TransactionAmt,ProductCD,card1,card2,card3,card4,card5,card6,addr1,addr2,dist1,dist2,P_emaildomain,R_emaildomain,risk_score,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,D15,M1,M2,M3,M4,M5,M6,M7,M8,M9
3000023,8410371,346.85,S,5612,212,150,visa,212,debit,330,87,10,,gmail.com,,0.096,4,1,3,2,1,4,3,4,1,2,1,1,3,4,51,0,1,14,1,7,7,2,30,30,30,14,7,14,30,T,F,T,T,T,T,T,T,T
3000024,2725937,57.75,R,15571,171,150,amex,271,debit,330,87,10,,gmail.com,,0.181,2,2,1,2,2,2,3,2,1,3,2,2,3,2,28,30,,0,1,0,2,,,1,14,2,0,1,2,T,T,T,T,T,T,T,T,F
3000025,8207963,218.15,W,2420,520,150,amex,220,credit,191,87,10,,outlook.com,,0.149,3,4,4,1,1,2,4,4,2,4,3,4,4,4,89,0,2,7,2,30,2,2,1,30,7,0,0,,0,T,F,T,T,T,T,T,T,T
3000026,9002654,231.42,S,13210,310,150,mastercard,210,debit,330,87,10,,gmail.com,,0.231,4,2,1,3,3,1,3,2,4,1,3,1,2,3,64,,2,2,2,0,1,,1,14,30,7,0,1,30,T,T,T,T,T,F,T,T,F
3000027,8363931,101.75,R,4006,106,150,discover,206,credit,330,87,10,,hotmail.com,,0.054,4,3,2,1,3,4,1,3,4,3,1,2,4,1,85,1,2,1,,1,,2,2,2,0,0,7,30,7,T,T,F,F,T,T,T,T,T
3000028,10205405,347.6,S,16065,165,150,amex,265,debit,191,87,10,,aol.com,,0.203,4,1,2,4,4,1,4,3,3,2,3,2,1,1,106,14,1,,2,2,30,,30,,1,1,0,1,2,T,T,T,T,T,T,T,T,T
3000029,4933750,198.19,S,5946,546,150,discover,246,credit,204,87,10,,hotmail.com,,0.005,1,4,2,3,4,2,1,4,1,3,1,2,1,2,19,7,7,14,14,14,1,2,2,2,7,7,,2,30,T,T,T,F,T,F,T,T,T
3000030,10241051,137.89,H,5634,234,150,visa,234,credit,299,87,10,,aol.com,,0.007,3,1,3,3,2,2,3,4,2,2,2,2,1,3,80,,0,14,,14,,30,14,0,30,2,,14,1,T,F,T,T,T,T,T,T,T
3000031,2155485,327.44,H,6316,416,150,mastercard,216,credit,330,87,10,,yahoo.com,,0.215,4,4,3,4,4,2,2,2,3,1,4,3,1,1,-35,0,,1,2,7,14,1,,7,0,1,,7,2,T,T,T,T,T,T,T,T,T
3000032,9416391,147.41,C,4246,346,150,mastercard,246,credit,299,87,10,,gmail.com,,0.261,1,3,2,3,1,1,2,4,4,1,1,4,1,2,85,1,2,7,0,14,2,1,14,7,1,30,30,0,14,T,T,T,T,T,T,F,F,T
3000033,2764527,258.74,R,12298,398,150,discover,298,debit,299,87,10,,gmail.com,,0.176,3,2,1,2,1,3,3,4,4,3,1,2,3,3,10,,0,,30,2,2,0,,2,7,7,30,7,7,T,T,T,T,T,T,T,T,T
3000034,7754811,159.59,S,17259,359,150,discover,259,debit,330,87,10,,gmail.com,,0.044,4,3,4,1,3,4,3,1,1,4,3,2,1,2,87,14,30,,7,0,1,0,1,,30,2,2,7,14,T,F,T,T,T,T,F,T,T
3000035,4195960,188.7,R,15743,343,150,discover,243,debit,191,87,10,,hotmail.com,,0.208,3,4,2,1,2,1,4,2,4,1,3,3,1,3,40,,1,30,30,30,30,1,,2,14,1,0,1,,T,T,F,T,T,T,T,T,T
3000036,8011539,219.76,H,14046,146,150,mastercard,246,credit,204,87,10,,yahoo.com,,0.18,1,1,2,3,2,2,3,2,3,3,1,3,2,3,46,30,2,14,14,0,14,30,1,14,14,1,1,30,14,T,T,T,T,T,T,T,T,T
3000037,9405074,35.65,S,12063,163,150,discover,263,credit,330,87,10,,yahoo.com,,0.182,4,1,1,2,4,4,4,4,2,3,2,3,3,3,102,1,,2,14,14,0,2,1,7,0,2,7,1,1,T,T,T,T,T,T,T,T,T
3000038,5763586,209.53,R,17327,427,150,discover,227,credit,191,87,10,,gmail.com,,0.113,1,1,4,2,3,3,4,3,1,4,1,2,3,3,43,7,14,7,,14,2,,14,30,14,0,1,0,7,F,T,T,T,T,F,T,T,T
3000039,6268720,306.89,S,12111,211,150,discover,211,credit,204,87,10,,gmail.com,,0.195,3,4,3,4,1,3,3,1,4,3,1,4,3,2,57,0,14,7,1,14,30,30,14,,,7,1,,30,F,T,T,T,T,T,T,T,T
3000040,7880498,217.1,S,3040,140,150,amex,240,credit,330,87,10,,outlook.com,,0.286,2,2,3,3,2,3,3,2,4,3,4,3,3,3,86,14,30,14,7,7,,2,,,1,2,0,2,30,T,T,T,T,T,T,T,T,T
3000041,7291212,303.99,R,15495,595,150,discover,295,debit,330,87,10,,yahoo.com,,0.201,2,1,2,4,4,4,2,3,3,3,1,1,2,1,65,7,,1,0,,7,,7,1,30,,2,0,0,F,T,T,F,T,T,T,F,T
3000042,10325514,128.13,S,4516,116,150,amex,216,debit,191,87,10,,yahoo.com,,0.369,2,4,4,3,1,4,1,2,2,4,3,2,1,3,104,1,7,,2,2,2,14,30,14,0,2,30,2,30,T,T,T,F,T,T,T,T,T
3000043,2523107,201.71,R,8236,336,150,amex,236,debit,191,87,10,,aol.com,,0.196,1,1,2,2,2,3,4,1,2,4,1,4,1,4,-23,14,7,7,14,0,14,7,30,,2,30,0,7,2,T,T,T,T,T,T,T,T,T
3000044,3250391,88.39,C,2039,139,150,amex,239,debit,191,87,10,,hotmail.com,,0.25,2,4,2,2,1,1,3,4,4,4,2,2,4,3,33,2,1,30,,0,0,,30,7,14,,0,1,1,T,T,T,T,T,T,T,T,T
3000045,6076477,306.67,R,8678,278,150,visa,278,debit,299,87,10,,aol.com,,0.161,4,4,1,3,4,3,4,4,2,3,4,2,4,2,46,1,2,,30,1,,7,0,14,7,7,14,14,1,T,T,T,T,T,T,T,T,T
3000046,3799965,50.05,H,7662,262,150,mastercard,262,credit,330,87,10,,gmail.com,,0.085,2,3,3,1,2,2,1,4,2,2,4,2,3,3,-5,7,14,30,2,2,2,2,14,7,7,0,,30,7,T,T,F,T,T,F,F,T,T
3000047,4188215,177.29,C,7656,256,150,amex,256,credit,204,87,10,,hotmail.com,,0.072,4,4,4,2,3,2,2,4,2,1,1,1,1,1,8,1,,30,1,0,30,1,0,1,14,7,2,0,14,T,T,T,T,T,T,T,T,T
3000048,7407944,25.98,S,16833,433,150,visa,233,debit,191,87,10,,gmail.com,,0.118,2,2,3,3,3,4,1,3,4,4,2,2,3,1,75,,30,,0,0,7,7,7,14,7,0,30,0,30,F,T,T,T,T,T,T,T,T
3000049,10291344,280.08,W,2525,125,150,discover,225,credit,299,87,10,,hotmail.com,,0.122,4,2,1,3,1,1,4,2,1,3,4,3,1,3,80,7,7,1,2,14,7,7,1,30,14,30,7,0,,F,T,T,T,T,T,T,T,T
3000050,7958434,51.17,C,9075,175,150,discover,275,credit,191,87,10,,yahoo.com,,0.297,1,1,1,3,1,3,4,1,3,4,4,1,2,2,62,7,1,1,2,2,2,7,1,0,1,7,2,7,2,T,T,F,F,T,T,T,T,T
3000051,2883521,293.94,H,12833,433,150,mastercard,233,credit,204,87,10,,yahoo.com,,0.016,3,2,4,3,2,4,3,3,4,2,3,4,3,4,5,0,14,1,14,14,1,30,,14,0,30,7,30,1,T,T,T,T,T,T,T,T,T
3000052,9125627,275.73,C,3266,366,150,discover,266,debit,330,87,10,,yahoo.com,,0.154,3,1,1,2,3,2,1,4,3,4,1,1,1,3,68,14,30,14,14,14,30,14,1,7,2,7,7,,30,T,T,T,T,T,T,T,T,T
3000053,3891219,203.45,W,5939,539,150,visa,239,debit,204,87,10,,yahoo.com,,0.074,1,3,1,2,2,2,2,3,4,4,2,4,2,2,32,30,7,7,0,30,14,1,7,14,7,7,0,30,1,T,T,T,T,T,F,T,T,F
3000054,6406936,323.81,S,3050,150,150,amex,250,credit,299,87,10,,hotmail.com,,0.409,4,2,3,1,2,3,1,2,3,1,2,3,2,4,43,14,1,14,7,7,1,7,30,14,30,30,1,14,1,T,T,T,T,T,T,T,T,T
3000055,3601513,255.38,H,7130,230,150,visa,230,debit,299,87,10,,yahoo.com,,0.346,3,1,3,2,3,2,4,4,1,1,3,3,1,4,-14,1,7,0,30,,30,,1,2,,0,7,2,2,T,T,T,T,T,T,T,T,F
3000056,9605786,314.74,C,15387,487,150,amex,287,debit,299,87,10,,aol.com,,0.071,3,3,3,3,1,2,4,1,3,2,2,2,2,3,107,1,,,30,7,7,1,14,30,2,30,7,7,7,T,T,T,T,T,T,T,T,T
3000057,4560382,304.92,H,4050,150,150,discover,250,debit,191,87,10,,hotmail.com,,0.066,4,2,4,3,3,3,3,2,4,3,1,1,1,4,-7,0,,1,7,7,0,7,1,30,1,30,2,1,,T,T,T,F,T,T,T,T,T
3000058,7304842,115.15,R,4058,158,150,mastercard,258,credit,299,87,10,,gmail.com,,0.081,1,1,3,1,4,2,4,1,2,4,1,1,1,3,84,2,1,7,,,,,1,30,30,1,0,14,14,T,T,T,T,T,T,F,T,T
3000059,4970830,294.52,H,6377,477,150,visa,277,debit,191,87,10,,yahoo.com,,0.102,3,1,3,2,2,4,3,1,2,4,4,1,2,4,14,14,0,14,0,2,2,1,7,,,14,7,2,14,F,F,T,T,T,T,T,T,T
3000060,3279188,290.8,H,17600,200,150,discover,200,debit,191,87,10,,outlook.com,,0.1,3,4,2,1,2,1,4,1,4,1,3,2,1,1,29,1,30,0,1,7,2,14,14,,,30,2,1,2,F,T,T,T,T,T,T,T,T
3000061,8137073,313.14,R,9806,406,150,visa,206,debit,204,87,10,,hotmail.com,,0.364,2,1,1,1,2,1,4,3,4,2,2,1,4,2,80,1,7,30,2,2,,0,14,2,0,14,30,0,1,T,T,F,T,T,T,T,T,T
3000062,4501834,353.26,R,2504,104,150,mastercard,204,debit,330,87,10,,hotmail.com,,0.19,2,1,4,1,2,3,1,3,1,4,3,1,2,2,5,7,0,1,30,2,0,0,1,,14,7,30,2,7,F,T,T,T,T,T,T,T,T
3000063,9458888,371.9,R,9552,152,150,amex,252,debit,330,87,10,,outlook.com,,0.027,4,3,4,3,1,1,2,3,1,2,3,2,1,2,74,7,14,0,30,2,2,,1,0,7,,7,14,30,T,F,T,T,T,T,T,T,T
3000064,1227922,66.15,W,16140,240,150,mastercard,240,credit,299,87,10,,yahoo.com,,0.291,2,1,3,1,1,4,1,2,4,4,4,1,4,4,-17,2,1,1,2,2,7,1,0,14,14,14,1,30,2,T,T,T,T,F,T,T,F,T
3000065,702697,126.31,S,16696,296,150,mastercard,296,debit,299,87,10,,aol.com,,0.202,3,2,1,3,1,4,3,2,2,1,2,2,3,1,-39,1,14,,,7,2,,,1,1,1,14,2,,T,T,T,T,T,T,T,T,T
3000066,7908495,380.07,S,1924,524,150,visa,224,credit,299,87,10,,aol.com,,0.211,1,3,2,2,3,2,3,1,1,2,2,1,3,1,60,30,30,7,14,0,2,2,2,1,1,30,7,,30,T,T,T,T,T,T,F,F,T
3000067,7936059,283.55,C,6708,308,150,visa,208,debit,299,87,10,,outlook.com,,0.34,3,2,1,4,2,3,1,2,3,3,2,1,3,4,45,2,1,1,30,0,2,2,,0,30,0,0,7,7,T,T,T,T,T,T,T,T,T
3000068,9903866,207.37,H,6450,550,150,visa,250,credit,330,87,10,,aol.com,,0.059,3,1,1,3,2,4,2,1,1,3,4,1,4,2,72,7,1,0,0,2,1,1,7,30,14,30,30,14,2,T,T,T,T,T,T,T,T,F
3000069,1129705,169.3,W,8783,383,150,visa,283,credit,330,87,10,,gmail.com,,0.017,4,4,4,3,1,4,2,3,4,3,2,4,1,3,-9,7,2,1,,2,14,0,1,,30,30,0,0,30,T,T,T,T,T,F,T,T,F
3000070,8458096,106.45,W,14565,165,150,mastercard,265,debit,191,87,10,,aol.com,,0.107,4,2,2,2,2,2,1,4,1,4,2,2,3,3,47,,0,0,7,14,7,14,2,,2,14,7,,0,T,T,T,T,T,T,F,T,T
3000071,1350321,76.86,W,14749,349,150,mastercard,249,credit,204,87,10,,aol.com,,0.005,4,2,4,1,4,3,2,1,4,3,3,1,3,3,-37,2,,7,,30,30,0,,1,1,2,30,7,,T,T,T,T,T,T,T,T,T
3000072,6823814,53.93,H,14656,256,150,visa,256,debit,299,87,10,,outlook.com,,0.086,2,2,1,2,1,4,1,3,2,3,3,4,4,1,25,0,1,2,7,14,7,1,,7,14,14,2,2,1,T,T,T,T,T,T,T,T,T
3000073,3200397,166.89,C,3961,561,150,visa,261,debit,299,87,10,,yahoo.com,,0.231,3,3,3,4,4,3,4,3,2,4,3,4,1,1,16,30,,,2,14,30,14,14,2,2,30,0,7,0,T,T,T,F,T,T,F,T,T
3000074,9626691,119.24,R,11654,254,150,discover,254,credit,299,87,10,,yahoo.com,,0.284,3,4,4,4,1,2,3,2,4,3,3,2,2,3,89,7,1,30,2,30,,14,,1,30,2,30,0,1,T,T,F,T,T,T,T,T,F
3000075,9875099,210.18,R,16473,573,150,mastercard,273,debit,191,87,10,,gmail.com,,0.229,4,3,2,3,1,1,4,3,2,2,2,4,1,2,57,7,30,7,7,7,7,7,0,0,14,1,30,2,0,T,T,T,T,T,T,T,T,T
3000076,259740,258.14,C,7244,344,150,amex,244,credit,299,87,10,,hotmail.com,,0.063,2,3,4,3,2,2,4,1,2,2,2,2,1,2,-39,2,30,30,,0,7,30,2,,14,14,0,14,0,T,F,T,T,F,F,T,T,T
3000077,4678835,271.74,C,10866,466,150,amex,266,credit,191,87,10,,gmail.com,,0.13,3,2,1,4,2,4,3,2,1,1,1,1,4,2,48,,14,0,30,30,0,2,30,1,7,2,2,7,0,T,T,T,T,T,T,T,T,T
3000078,9542085,156.88,R,2292,392,150,visa,292,credit,191,87,10,,gmail.com,,0.312,3,2,1,4,4,4,3,4,4,4,2,1,2,1,71,1,0,7,14,7,,14,30,7,1,14,7,,2,F,T,F,T,T,T,T,T,T
3000079,7474741,217.26,H,8339,439,150,discover,239,credit,299,87,10,,outlook.com,,0.087,2,1,4,3,2,3,3,1,2,4,4,2,1,4,61,,14,7,0,,7,7,2,0,7,30,30,0,0,T,T,T,T,T,T,F,T,T
3000080,9170313,320.88,S,1005,105,150,discover,205,credit,330,87,10,,aol.com,,0.004,4,1,1,2,1,3,3,3,3,1,1,2,4,2,54,30,30,30,7,0,2,14,1,1,0,,7,1,7,T,T,T,T,T,T,T,T,T
3000081,1263925,37.67,W,12073,173,150,mastercard,273,debit,191,87,10,,outlook.com,,0.03,2,1,4,3,4,4,2,3,4,3,3,4,2,2,1,14,30,30,14,2,,30,14,,2,30,30,14,30,T,T,T,T,T,F,T,T,T
3000082,6554794,378.22,H,16740,340,150,amex,240,debit,330,87,10,,outlook.com,,0.017,1,3,2,1,3,4,1,2,4,2,3,1,4,4,47,,30,2,14,0,0,30,2,1,14,,,,,T,T,F,T,T,T,T,T,T
3000083,8457920,227.71,C,13050,150,150,amex,250,debit,330,87,10,,outlook.com,,0.015,3,4,2,1,2,3,1,3,4,3,1,3,2,2,76,0,,14,1,7,14,14,7,0,2,1,1,30,2,T,T,T,T,T,T,T,T,T
3000084,8461839,221.59,S,8158,258,150,visa,258,credit,204,87,10,,gmail.com,,0.024,3,3,1,3,4,4,1,3,2,3,1,1,2,1,53,0,1,30,30,,1,,30,7,,0,1,14,,T,T,T,T,T,T,T,T,T
3000085,7180652,303.82,R,15261,361,150,amex,261,debit,204,87,10,,gmail.com,,0.226,4,1,1,1,1,1,3,1,3,3,1,3,4,4,65,,30,0,7,1,14,1,1,30,7,,,,14,F,T,T,F,T,T,T,T,T
3000086,3454526,161.79,W,5721,321,150,mastercard,221,debit,299,87,10,,gmail.com,,0.259,2,2,3,2,1,2,1,4,1,3,1,3,1,2,8,14,7,2,2,1,30,30,1,0,2,14,0,1,2,F,T,T,T,F,T,T,T,T
3000087,7766168,77.91,H,11016,116,150,discover,216,credit,299,87,10,,gmail.com,,0.049,3,4,1,2,1,3,2,2,3,1,1,1,1,4,32,14,1,0,14,2,14,14,7,30,,1,2,7,1,T,T,T,T,T,T,T,T,T
3000088,1616109,210.43,W,10535,135,150,mastercard,235,credit,191,87,10,,hotmail.com,,0.061,3,1,2,4,2,1,3,3,2,1,2,3,4,4,-16,0,0,30,2,0,30,14,30,,2,,30,2,14,T,T,T,T,T,T,T,T,T
3000089,7307213,158.81,S,13342,442,150,discover,242,debit,330,87,10,,outlook.com,,0.02,2,1,3,2,2,2,2,3,1,2,4,3,1,4,74,7,7,1,14,1,30,,7,0,1,0,1,14,14,T,T,T,T,T,T,T,F,T
3000090,2478077,250.48,H,3809,409,150,discover,209,debit,191,87,10,,yahoo.com,,0.037,2,4,4,2,1,1,2,4,2,1,2,4,1,1,-27,7,30,1,14,14,,0,,30,30,7,14,7,2,T,T,T,T,T,T,T,T,T
3000091,10119786,127.64,C,8618,218,150,amex,218,credit,204,87,10,,gmail.com,,0.238,4,3,3,4,2,4,4,2,3,4,3,3,3,4,92,1,,,30,0,30,1,7,,30,1,0,1,14,T,F,F,T,T,T,T,T,T
3000092,1865400,386.54,W,2705,305,150,amex,205,debit,204,87,10,,yahoo.com,,0.064,2,4,4,1,2,3,2,1,2,2,1,3,2,1,17,0,2,,7,2,30,7,7,14,1,14,0,30,30,T,T,F,T,T,T,T,T,T
3000093,8108484,367.7,R,10322,422,150,visa,222,credit,299,87,10,,aol.com,,0.028,3,4,4,4,2,3,4,4,1,4,1,3,1,4,77,,1,30,30,1,,2,7,2,14,14,0,30,,T,T,T,F,T,T,T,T,T
3000094,4537625,48.89,C,4047,147,150,amex,247,debit,191,87,10,,hotmail.com,,0.402,2,2,2,3,2,1,1,1,4,1,1,4,3,3,19,14,,2,7,1,,14,2,7,1,,14,1,0,T,T,T,T,T,T,T,T,T
3000095,6052268,210.94,C,16673,273,150,amex,273,debit,191,87,10,,gmail.com,,0.007,3,4,3,3,2,4,4,2,4,3,3,4,3,4,46,14,1,14,30,1,,0,30,2,,1,14,7,,T,T,T,F,T,T,T,T,T
3000096,1144609,42.81,R,14054,154,150,mastercard,254,debit,191,87,10,,gmail.com,,0.263,3,3,3,4,4,1,4,3,4,2,2,3,4,4,-4,0,0,1,2,1,2,2,30,2,30,2,14,30,7,T,T,T,T,T,T,F,T,T
3000097,8371328,217.96,W,12900,500,150,visa,200,credit,299,87,10,,yahoo.com,,0.081,1,1,3,2,1,4,3,2,2,3,4,2,2,2,36,0,30,2,,2,,7,7,,14,2,14,7,1,T,T,T,F,T,F,F,T,T
3000098,6644726,193.49,S,6801,401,150,visa,201,debit,191,87,10,,aol.com,,0.172,2,3,3,4,1,4,4,3,1,4,3,2,1,3,71,7,14,7,7,1,1,30,30,30,7,,7,1,2,T,T,T,T,T,F,T,T,T
3000099,5869175,326.88,S,8849,449,150,mastercard,249,debit,330,87,10,,outlook.com,,0.111,1,2,1,3,3,2,4,1,2,1,2,1,4,2,7,7,2,,,7,2,7,30,,0,2,0,,,T,F,T,F,T,T,T,T,T
3000100,4378059,113.92,W,9157,257,150,visa,257,credit,299,87,10,,outlook.com,,0.06,4,3,2,3,1,2,1,2,4,3,1,2,3,1,35,,1,0,0,14,,30,7,30,14,1,2,,0,T,F,T,T,T,T,T,T,T
3000101,5473697,140.36,R,5123,223,150,mastercard,223,credit,191,87,10,,yahoo.com,,0.011,3,4,3,2,1,2,4,3,3,3,4,1,4,2,30,14,,2,,14,1,2,30,0,30,14,,7,1,F,T,T,T,F,T,T,T,T
3000102,6862710,142.59,R,6050,150,150,discover,250,credit,204,87,10,,gmail.com,,0.088,3,1,3,2,1,1,2,4,1,4,1,3,4,3,73,30,0,,14,2,14,0,30,0,,2,0,1,14,T,F,T,T,T,T,T,F,T
3000103,7576925,286.97,C,12729,329,150,discover,229,credit,191,87,10,,aol.com,,0.1,2,2,4,3,3,4,4,4,1,1,3,1,2,3,51,2,1,1,,2,0,,,30,,2,14,14,14,T,T,T,T,T,T,T,T,T
3000104,1128146,194.94,C,6069,169,150,discover,269,debit,299,87,10,,hotmail.com,,0.175,4,1,3,1,4,1,1,3,3,4,4,1,2,1,-1,,30,7,0,2,14,0,2,14,14,1,2,14,30,T,T,T,T,F,T,T,T,T
3000105,1012771,237.15,W,12015,115,150,mastercard,215,debit,191,87,10,,aol.com,,0.265,1,3,4,3,1,1,4,4,3,3,2,3,3,1,-32,2,1,2,14,,,7,14,1,7,0,,1,1,T,T,T,T,T,T,T,T,T
3000106,1303148,112.36,S,3811,411,150,amex,211,credit,299,87,10,,hotmail.com,,0.187,2,1,4,1,3,2,1,3,2,3,1,4,1,1,-9,30,2,30,,30,2,,0,0,2,,30,7,1,F,T,F,T,F,T,T,T,T
3000107,10063747,204.17,C,4263,363,150,amex,263,debit,191,87,10,,aol.com,,0.108,3,1,3,4,1,3,2,2,3,4,2,1,4,2,82,1,14,1,7,2,14,2,7,14,1,1,30,1,14,T,F,T,T,T,T,T,T,T
3000108,9608502,137.42,S,7629,229,150,amex,229,debit,299,87,10,,outlook.com,,0.12,1,3,4,4,3,4,3,2,2,1,2,2,1,3,79,14,14,1,14,1,1,30,0,2,0,30,,7,1,T,T,T,T,T,T,T,T,F
3000109,8033940,162.1,C,16360,460,150,mastercard,260,credit,299,87,10,,yahoo.com,,0.234,4,3,4,2,4,4,1,4,3,4,1,1,4,4,74,0,1,14,14,7,30,0,14,7,14,,30,0,1,T,T,T,T,T,T,T,T,T
3000110,8677475,195.31,H,10979,579,150,mastercard,279,credit,330,87,10,,aol.com,,0.038,4,3,4,1,2,4,2,4,1,3,3,2,1,1,65,30,7,30,2,0,14,30,7,30,,14,14,1,7,T,T,T,T,T,F,T,T,T
3000111,10152734,234.89,C,6599,199,150,amex,299,debit,299,87,10,,gmail.com,,0.113,4,4,4,1,4,2,2,4,4,4,4,1,1,2,108,2,14,30,14,,,1,0,1,1,0,30,2,0,T,T,T,T,T,F,T,T,T
